Post,Company,Experience,Level,Salary,Deadline
Analyst,Audit Partnership,Not Required,Entry Level,"NRs. 25,000 Monthly",2026-01-19
Event Officer,E-Spot Club,More than 3 years,Mid Level,Not Disclosed,2026-01-19
Sales and Marketing Officer,Uni Apply LLC,More than 2 years,Mid Level,Not Disclosed,2026-01-19
Front Desk Officer,Education Asia,Less than 1 year,Entry Level,Not Disclosed,2026-01-19
Sales Executive,Himalayan Guardian Nepal,More than 1 year,Mid Level,"NRs. 29,000 - 49,000 Monthly",2026-01-19
Graphic Designer,Mero Coding Class,More than 1 year,Mid Level,Not Disclosed,2026-01-19
Operations Manager,ASK Enlightenment,More than 2 years,Mid Level,"NRs. 50,000 Monthly",2026-01-19
Program Manager,Volunteers Initiative Nepal (VIN),More than 5 years,Senior Level,"NRs. 60,000 - 90,000 Monthly",2026-01-20
General Manager,Maulakali Resort,More than 5 years,Senior Level,Not Disclosed,2026-01-20
Full Stack Developer (Laravel and Tailwind),Nepa Rudraksha,More than 2 years,Mid Level,"NRs. 40,000 - 50,000 Monthly",2026-01-20
Operations Manager,Smart Educational Academy,More than 2 years,Mid Level,Not Disclosed,2026-01-20
National Sales Coordinator (Mobile Phone),ZTE Nepal,More than 5 years,Senior Level,Not Disclosed,2026-01-20
Study Abroad Counselor,The Metaphor Consultancy - IEC Group,More than 5 years,Senior Level,Not Disclosed,2026-01-20
Reservation Officer,Ace the Himalaya,More than 2 years,Mid Level,Not Disclosed,2026-01-21
Recruitment Administrator,Humble Hunters Nepal,More than 3 years,Mid Level,"NRs. 30,000 - 60,000 Monthly",2026-01-21
Assistant Relationship Officer,Himal Tea Industries - Rakura Group,Not Required,Entry Level,"NRs. 25,000 - 30,000 Monthly",2026-01-21
Marketing / Social Media Officer,Camel Electric Motorcycle Technology,More than 3 years,Mid Level,"NRs. 50,000 Monthly",2026-01-21
